(player_id, player_name, player_age, Player_position, Player_goals, team_id)

1,Lionel Messi,35,RW,null,1
2,Lautaro Martínez,25,ST,null,1
3,Paulo Dybala,29,SUB,null,1
4,Marcos Acuña,31,LB,null,1
5,Ángel Di María,35,LW,null,1
6,Alejandro Gómez,35,CM,null,1
7,Emiliano Martínez,30,GK,null,1
8,Rodrigo Javier De Paul,28,CM,null,1
9,Cristian Romero,24,CB,null,1
10,Lisandro Martínez,25,SUB,null,1
11,Gerónimo Rulli,30,SUB,null,1
12,Guido Rodríguez,29,SUB,null,1
13,Nicolás Otamendi,35,CB,null,1
14,Nicolás Tagliafico,30,SUB,null,1
15,Enzo Fernández,22,SUB,null,1
16,Nicolás González,25,SUB,null,1
17,Leandro Paredes,28,CDM,null,1
18,Joaquín Correa,28,SUB,null,1
19,Julián Álvarez,23,SUB,null,1
20,Juan Foyth,25,RES,null,1
21,Gonzalo Montiel,26,SUB,null,1
22,Franco Armani,36,SUB,null,1
23,Nahuel Molina,25,RB,null,1
24,Exequiel Palacios,24,RES,null,1
25,Alexis Mac Allister,24,RES,null,1
26,Germán Pezzella,31,SUB,null,1
27,Mathew Ryan,31,GK,null,2
28,Jamie Maclaren,29,ST,null,2
29,Aaron Mooy,32,CDM,null,2
30,Craig Goodwin,31,LM,null,2
31,Harry Souttar,24,CB,null,2
32,Miloš Degenek,28,CB,null,2
33,Jackson Irvine,30,CDM,null,2
34,Martin Boyle,29,RM,null,2
35,Riley McGree,24,SUB,null,2
36,Cameron Devlin,24,SUB,null,2
37,Mathew Leckie,32,SUB,null,2
38,Kye Rowles,24,SUB,null,2
39,Ajdin Hrustić,26,CAM,null,2
40,Awer Mabil,27,SUB,null,2
41,Fran Karačić,26,SUB,null,2
42,Jason Cummings,27,SUB,null,2
43,Aziz Behich,32,LB,null,2
44,Nathaniel Atkinson,23,RB,null,2
45,Mitchell Duke,32,SUB,null,2
46,Danny Vukovic,38,SUB,null,2
47,Bailey Wright,30,RES,null,2
48,Keanu Baccus,24,SUB,null,2
49,Joel King,22,RES,null,2
50,Thomas Deng,26,SUB,null,2
51,Andrew Redmayne,34,SUB,null,2
52,Garang Kuol,18,RES,null,2
53,Kevin De Bruyne,31,RF,null,3
54,Thibaut Courtois,30,GK,null,3
55,Romelu Lukaku,29,ST,null,3
56,Yannick Carrasco,29,LM,null,3
57,Youri Tielemans,25,CM,null,3
58,Koen Casteels,30,SUB,null,3
59,Eden Hazard,32,LF,null,3
60,Dries Mertens,35,SUB,null,3
61,Toby Alderweireld,34,CB,null,3
62,Simon Mignolet,35,SUB,null,3
63,Jan Vertonghen,35,CB,null,3
64,Hans Vanaken,30,SUB,null,3
65,Leandro Trossard,28,SUB,null,3
66,Axel Witsel,34,SUB,null,3
67,Thorgan Hazard,30,SUB,null,3
68,Charles De KetelaereB,22,SUB,null,3
69,Wout Faes,25,SUB,null,3
70,Timothy Castagne,27,RES,null,3
71,Thomas Meunier,31,RM,null,3
72,Michy Batshuayi,29,SUB,null,3
73,Arthur Theate,22,RES,null,3
74,Leander Dendoncker,28,SUB,null,3
75,Jérémy Doku,20,RES,null,3
76,Amadou Onana,21,CM,null,3
77,Loïs Openda,23,SUB,null,3
78,Zeno Debast,19,CB,null,3
79,Ederson Santana de Moraes,29,SUB,null,4
80,Alisson Ramses Becker,30,GK,null,4
81,Neymar da Silva Santos Jr,31,ST,null,4
82,Carlos Henrique Venancio Casimiro,31,CM,null,4
83,Marcos Aoás Corrêa,28,CB,null,4
84,Vinícius José de Oliveira Júnior,22,LW,null,4
85,Thiago Emiliano da Silva,38,CB,null,4
86,Fábio Henrique Tavares,29,SUB,null,4
87,Éder Gabriel Militão,25,SUB,null,4
88,Gabriel Fernando de Jesus,26,SUB,null,4
89,Weverton Pereira da Silva,35,RES,null,4
90,Bruno Guimarães Moura,25,SUB,null,4
91,Gleison Bremer Silva Nascimento,26,RES,null,4
92,Raphael Dias Belloli,26,RW,null,4
93,Antony Matheus dos Santos,23,SUB,null,4
94,Lucas Tolentino Coelho de Lima,25,CAM,null,4
95,Rodrygo Silva de Goes,22,SUB,null,4
96,Richarlison de Andrade,25,SUB,null,4
97,Danilo Luiz da Silva,31,RB,null,4
98,Pedro Guilherme Abreu dos Santos,25,SUB,null,4
99,Alex Sandro Lobo Silva,32,LB,null,4
100,Frederico de Paula Santos,30,CM,null,4
101,Alex Nicolao Telles,30,SUB,null,4
102,Éverton Augusto de Barros Ribeiro,34,SUB,null,4
103,Gabriel Teodoro Martinelli Silva,21,RES,null,4
104,Daniel Alves da Silva,39,SUB,null,4
105,André Onana,27,GK,null,5
106,André-Franck Zambo Anguissa,27,CDM,null,5
107,Karl Toko Ekambi,30,LM,null,5
108,Eric Maxim Choupo-Moting,34,ST,null,5
109,Nicolas Moumi Ngamaleu,28,SUB,null,5
110,Bryan Mbeumo,23,SUB,null,5
111,Jean-Pierre Nsame,29,SUB,null,5
112,Vincent Aboubakar,31,ST,null,5
113,Georges-Kévin Nkoudou Mbida,28,SUB,null,5
114,Nicolas Nkoulou,33,CB,null,5
115,Christian Bassogog,27,RES,null,5
116,Jean-Charles Castelletto,28,CB,null,5
117,Pierre Kunde,27,SUB,null,5
118,Martin Hongla,25,RM,null,5
119,Olivier Ntcham,27,SUB,null,5
120,Christopher Wooh,21,SUB,null,5
121,Enzo Ebosse,24,LB,null,5
122,Nouhou Tolo,25,SUB,null,5
123,Collins Fai,30,RB,null,5
124,Samuel Oum Gouet,25,CDM,null,5
125,Gaël Ondoua,27,SUB,null,5
126,Devis Epassy,30,SUB,null,5
127,Simon Ngapandouetnbu,20,SUB,null,5
128,Olivier Mbaizo,25,SUB,null,5
129,Jerome Ngom Mbekeli,24,RES,null,5
130,Souaibou Marou,22,RES,null,5
131,Alphonso Davies,22,LM,null,6
132,Jonathan David,23,ST,null,6
133,Stephen Antunes Eustáquio,26,CDM,null,6
134,Milan Borjan,35,GK,null,6
135,Jonathan Osorio,30,CAM,null,6
136,Cyle Larin,28,SUB,null,6
137,Iké Ugbo,24,SUB,null,6
138,Tajon Buchanan,24,RM,null,6
139,Atiba Hutchinson,40,CDM,null,6
140,Richie Laryea,28,SUB,null,6
141,Dayne St Clair,25,SUB,null,6
142,Kamal Miller,25,CB,null,6
143,Alistair Johnston,24,RB,null,6
144,Lucas Cavallini,30,SUB,null,6
145,Junior Hoilett,32,SUB,null,6
146,Samuel Piette,28,SUB,null,6
147,Sam Adekugbe,28,LB,null,6
148,Steven de Sousa Vitória,36,CB,null,6
149,Mark-Anthony Kaye,28,SUB,null,6
150,Liam Millar,23,SUB,null,6
151,Joel Waterman,27,RES,null,6
152,David Wotherspoon,33,SUB,null,6
153,Ismaël Koné,20,RES,null,6
154,James Pantemis,26,SUB,null,6
155,Derek Cornelius,25,SUB,null,6
156,Liam Fraser,25,RES,null,6
157,Keylor Navas,36,GK,null,7
158,Bryan Ruiz,37,SUB,null,7
159,Óscar Esau Duarte Gaitán,33,CB,null,7
160,Joel Campbell,30,ST,null,7
161,Celso Borges,34,CM,null,7
162,Keysher Fuller,28,RB,null,7
163,Yeltsin Tejeda,31,CM,null,7
164,Kendall Waston,35,SUB,null,7
165,Juan Pablo Vargas,27,SUB,null,7
166,Ronald Matarrita,28,SUB,null,7
167,Gerson Torres,25,RM,null,7
168,Francisco Calvo,30,B,null,7
169,Esteban Alvarado,33,SUB,null,7
170,Bryan Oviedo,33,LB,null,7
171,Anthony Contreras,23,ST,null,7
172,Johan Venegas,34,SUB,null,7
173,Jewison Bennette,18,LM,null,7
174,Daniel Chacón,22,SUB,null,7
175,Brandon Aguilera,19,RES,null,7
176,Douglas López,24,SUB,null,7
177,Youstin Salas,26,SUB,null,7
178,Carlos Manuel Martínez Castro,24,RES,null,7
179,Patrick Gilmar Sequeira,24,SUB,null,7
180,Álvaro Zamora,21,SUB,null,7
181,Anthony Hernández,29,SUB,null,7
182,Roan Wilson,20,RES,null,7
183,Luka Modrić,37,CM,null,8
184,Marcelo Brozović,30,DM,null,8
185,Mateo Kovačić,28,CM,null,8
186,Ivan Perišić,34,LM,null,8
187,Andrej Kramarić,31,ST,null,8
188,Joško Gvardiol,21,CB,null,8
189,Mario Pašalić,28,RM,null,8
190,Lovro Majer,25,SUB,null,8
191,Dominik Livaković,28,GK,null,8
192,Borna Sosa,25,LB,null,8
193,Nikola Vlašić,25,SUB,null,8
194,Dejan Lovren,33,CB,null,8
195,Mislav Oršić,30,SUB,null,8
196,Marko Livaja,29,SUB,null,8
197,Josip Šutalo,23,SUB,null,8
198,Kristijan Jakić,25,SUB,null,8
199,Domagoj Vida,33,SUB,null,8
200,Ante Budimir,31,RES,null,8
201,Josip Juranović,27,RB,null,8
202,Bruno Petković,28,RES,null,8
203,Luka Sučić,20,RES,null,8
204,Martin Erlić,25,SUB,null,8
205,Ivo Grbić,27,SUB,null,8
206,Ivica Ivušić,28,SUB,null,8
207,Borna Barišić,30,SUB,null,8
208,Josip Stanišić,23,SUB,null,8
209,Pierre-Emile Højbjerg,27,CM,null,9
210,Christian Eriksen,31,CAM,null,9
211,Kasper Schmeichel,36,GK,null,9
212,Andreas Christensen,27,CB,null,9
213,Simon Kjær,34,CB,null,9
214,Thomas Delaney,31,CM,null,9
215,Daniel Wass,33,RB,null,9
216,Alexander Bah,25,SUB,null,9
217,Joachim Andersen,26,SUB,null,9
218,Rasmus Kristensen,25,SUB,null,9
219,Kasper Dolberg,25,ST,null,9
220,Yussuf Poulsen,28,SUB,null,9
221,Martin Braithwaite,31,SUB,null,9
222,Mikkel Damsgaard,22,LW,null,9
223,Jesper Lindstrøm,23,SUB,null,9
224,Andreas Skov Olsen,23,RW,null,9
225,Jonas WindD,24,SUB,null,9
226,Frederik Riis Rønnow,30,RES,null,9
227,Christian Nørgaard,29,SUB,null,9
228,Victor Nelsson,24,RES,null,9
229,Joakim Mæhle,25,LB,null,9
230,Mathias Jensen,27,SUB,null,9
231,Andreas Cornelius,30,SUB,null,9
232,Jens Stryger Larsen,32,SUB,null,9
233,Robert Skov,26,RES,null,9
234,Oliver Christensen,24,SUB,null,9
235,Pervis Estupiñán,25,LB,null,10
236,Piero Hincapié,21,CB,null,10
237,Gonzalo Plata,22,RM,null,10
238,Ángel Israel Mena Delgado,35,CAM,null,10
239,Felix Torres,26,CB,null,10
240,Enner Valencia,33,ST,null,10
241,Michael Estrada,27,SUB,null,10
242,Alexander Dominguez,35,GK,null,10
243,Robert Arboleda,31,SUB,null,10
244,Moisés Caicedo,21,CDM,null,10
245,José Cifuentes,24,SUB,null,10
246,Carlos Gruezo,28,CDM,null,10
247,Romario Ibarra,28,LM,null,10
248,Ayrton Preciado,28,SUB,null,10
249,Hernán Ismael Galíndez,36,SUB,null,10
250,Moisés Ramírez,22,SUB,null,10
251,Diego Palacios,23,SUB,null,10
252,William Pacho,21,SUB,null,10
253,Jackson Porozo,22,RES,null,10
254,Sebastían Méndez,45,SUB,null,10
255,Ángelo Preciado,25,RB,null,10
256,Xavier Arreaga,28,SUB,null,10
257,Jeremy Sarmiento,20,SUB,null,10
258,Kevin Rodríguez,23,RES,null,10
259,Djorkaeff Reasco,24,RES,null,10
260,Alan Franco,26,SUB,null,10
